Image,Titre,Duree,Description,Nbjoueur
https://cdn3.philibertnet.com/618325-thickbox_default/star-wars-bounty-hunters.jpg,Star Wars : Bounty Hunters,"
moins de 30mn
","Dans Star Wars : Bounty Hunters, vous êtes à la poursuite de célèbres cibles en fuite : Han Solo, Chewbacca, Grogu... Ne les laissez pas s'échapper ! Mais choisissez bien votre version ! Vous avez le choix entre une version signée par l'auteur ou à une version standard sans signature.","

2 à 6 joueur(s)

"
https://cdn2.philibertnet.com/612360-thickbox_default/villainous-rempli-d-effroi.jpg,Villainous - Rempli d'Effroi,"
30mn à 1h
",Incarnez un Méchant Disney et suivez votre objectif diabolique pour gagner le titre de pire méchant de tous les temps !,"

2 à 3 joueur(s)

"
https://cdn2.philibertnet.com/608768-thickbox_default/heat-heavy-rain.jpg,Heat - Heavy Rain,"
30mn à 1h
",Heat Heavy Rain est une extension pour Heat qui comporte deux circuits supplémentaires (Japon et Mexique) et des règles et évènements supplémentaires.,"

1 à 7 joueur(s)

"
https://cdn3.philibertnet.com/612097-thickbox_default/palm-laboratory.jpg,Palm Laboratory,"
moins de 30mn
",Palm Laboratory est un jeu de cartes solo qui se joue dans le creux de la main. Vous n'avez pas besoin de table pour jouer !,"

1 joueur(s)

"
https://cdn3.philibertnet.com/614492-thickbox_default/mon-puzzle-aventure-dragon.jpg,Mon Puzzle Aventure - Dragon,"
moins de 30mn
",Mon Puzzle Aventure est une collection de puzzles-jeux qui racontent des histoires. Chaque puzzle vous plonge dans un univers différent.,"

1 joueur(s)

"
https://cdn1.philibertnet.com/592303-thickbox_default/eila-et-l-eclat-de-la-montagne.jpg,Eila et l'Éclat de la Montagne,"
30mn à 1h
","Eila et l'Éclat de la Montagne est un jeu de société axé sur l'histoire, conçu pour 1 joueur ou plus, et se déroulant dans un monde mystique. Incarnez le personnage d'Eila, résolvez des énigmes, gérez des ressources et surmontez des défis à travers des labyrinthes souterrains périlleux, des hauts plateaux enneigés impitoyables, et bien plus encore.","

1 à 3 joueur(s)

"
https://cdn2.philibertnet.com/606573-thickbox_default/mindbug-evolution-supreme.jpg,Mindbug - Evolution Suprême,"
moins de 30mn
","Dans Mindbug - Evolution Suprême, vous invoquez des créatures hybrides et les envoyez au combat contre votre adversaire. Un jeu co-créé notamment par Richard Garfield.","

2 joueur(s)

"
https://cdn2.philibertnet.com/610777-thickbox_default/marabunta-roll-divide.jpg,Marabunta Roll & Divide,"
30mn à 1h
",Deux fourmilières se disputent le contrôle des lieux. Marabunta est un roll and write (lancez les dés et écrivez les résultats) conçu spécifiquement pour deux joueurs par le célèbre et talentueux Reiner Knizia.,"

2 joueur(s)

"
https://cdn3.philibertnet.com/581418-thickbox_default/knarr.jpg,Knarr,"
moins de 30mn
",Knarr est un jeu où vous devrez constituer votre équipage afin d'explorer et de commercer pour vous enrichir le plus vite possible.,"

2 à 4 joueur(s)

"
https://cdn1.philibertnet.com/606562-thickbox_default/mindbug-eternite-supreme.jpg,Mindbug - Eternité Suprême,"
moins de 30mn
","Dans Mindbug - Eternité Suprême, vous invoquez des créatures hybrides et les envoyez au combat contre votre adversaire. Un jeu co-créé notamment par Richard Garfield.","

2 joueur(s)

"
https://cdn1.philibertnet.com/565875-thickbox_default/that-s-not-a-hat.jpg,That's Not a Hat,"
moins de 30mn
","A peine mémorisé, vous l'avez déjà oublié... A vous de bluffer et d'être assez convaincants pour refiler l'objet inconnu aux autre joueurs !","

3 à 8 joueur(s)

"
https://cdn2.philibertnet.com/607760-thickbox_default/dice-throne-marvel-scarlett-witch-thor-loki-spiderman-miles-morales.jpg,Dice Throne Marvel : Scarlet Witch-Thor-Loki-Spiderman Miles Morales,"
moins de 30mn
","Dice Throne Marvel est un jeu de combat rapide qui permet aux joueurs d'incarner leurs héros Marvel préférés dans des combats en duels, des batailles en équipe et des combats en mode chacun pour soi !","

2 à 4 joueur(s)

"
https://cdn3.philibertnet.com/594064-thickbox_default/dracula-vs-van-helsing.jpg,Dracula vs Van Helsing,"
30mn à 1h
",Dracula vs Van Helsing est le jeu idéal pour les amateurs de jeux de duel tactiques. Il combine une prise en main rapide avec une profondeur stratégique qui vous immergera complètement dans ce conflit légendaire entre le bien et le mal.,"

2 joueur(s)

"
https://cdn2.philibertnet.com/602943-thickbox_default/paleo-extension-la-baleine-blanche.jpg,Paleo - Extension La Baleine Blanche,"
30mn à 1h
","Paleo - Extension La Baleine Blanche est une extension pour le jeu coopératif préhistorique Paleo, qui propose un nouveau module de jeu.","

2 à 4 joueur(s)

"
https://cdn1.philibertnet.com/606182-thickbox_default/rove.jpg,Rove,"
moins de 30mn
",Rove est un jeu solo de la gamme Micro Game dans lequel vous devrez résoudre les obstacles sur votre passage grâce à des modules embarqués.,"

1 joueur(s)

"
https://cdn1.philibertnet.com/589531-thickbox_default/paleo-extension-les-frelons.jpg,Paleo - Extension Les Frelons,"
30mn à 1h
","Paleo - Extension Les Frelons est une extension pour le jeu coopératif préhistorique Paleo, qui propose un nouveau module de jeu.","

2 à 4 joueur(s)

"
https://cdn1.philibertnet.com/593786-thickbox_default/nekojima.jpg,Nekojima,"
moins de 30mn
",Nekojima est un jeu d'adresse et de dextérité en bois dans lequel vous devrez maintenir en équilibre toute une installation.,"

1 à 5 joueur(s)

"
https://cdn1.philibertnet.com/584375-thickbox_default/barcelona.jpg,Barcelona,"
1 à 2h
","Dans Barcelona, jouez le rôle de bâtisseurs travaillant à l'expansion de la ville. Construisez des bâtiments, rues, lignes de tramway et services publics pour accompagner l'arrivée des nouveaux habitants.","

1 à 4 joueur(s)

"
https://cdn3.philibertnet.com/615984-thickbox_default/heroquest-la-prophetie-de-telor.jpg,HeroQuest - La Prophétie de Télor,"
1 à 2h
",Cette extension pour HeroQuest propose treize quêtes captivantes écrites par Stephen Baker.,"

2 à 5 joueur(s)

"
https://cdn2.philibertnet.com/571750-thickbox_default/akropolis.jpg,Akropolis,"
moins de 30mn
","Akropolis est un jeu de stratégie simple avec des éléments en 3D, où vous devrez gagner du prestige en construisant les meilleures cités au cœur de l'antique Méditerranée.","

2 à 4 joueur(s)

"
https://cdn2.philibertnet.com/450259-thickbox_default/punto.jpg,Punto,"
moins de 30mn
","Punto est un jeu de cartes dans lequel les joueurs doivent poser 4 cartes de la même couleur dans le but de former une suite logique : une rangée, une colonne ou une diagonale.","

2 à 4 joueur(s)

"
https://cdn2.philibertnet.com/607195-thickbox_default/champ-d-honneur-extension-felonie.jpg,Champ d'honneur extension : Félonie,"
30mn à 1h
","Dans cette extension, utilisez des unités spéciales capables d’entraver les forces adverses. Saurez maîtriser l'art du subterfuge ?","

2 à 4 joueur(s)

"
https://cdn2.philibertnet.com/605431-thickbox_default/world-wonders.jpg,World Wonders,"
1 à 2h
","Dans World Wonders, chaque joueur utilise son or à chaque tour pour construire des tuiles qui augmenteront l'économie de sa ville.","

1 à 5 joueur(s)

"
